file_path,label_source,file_exists,file_size_bytes,metadata_duration_seconds,sample_rate_hz,channels,estimated_bitrate_kbps,container_format,codec_subtype,bitrate_kbps,bitrate_mode,mpeg_version,mp3_mode,metadata_error
music/low_stream/Chtin Mara - 02_chtin_mara_-_black_cat_spell.mp3,archive_low_download,True,10133507,253.30972789115646,44100.0,2.0,320.0353049008595,MP3,MPEG_LAYER_III,320.0,constant,MPEG 1.0,joint stereo,
music/low_stream/Load Runner - load_runner_04_bad_news.mp3,archive_low_download,True,2834560,118.08979591836734,44100.0,2.0,192.0274298354763,MP3,MPEG_LAYER_III,192.0,constant,MPEG 1.0,joint stereo,
music/low_stream/DJ RedSkeye - 03_DJ_RedSkeye__Digital_Cabaret_64kb.mp3,archive_low_download,True,1657472,207.04375,24000.0,2.0,64.04335315603586,MP3,MPEG_LAYER_III,64.0,constant,MPEG 2.0,joint stereo,
music/low_stream/bivouacmusic - 05_AVANT-_GROUP_vbr.mp3,archive_low_download,True,25854528,1155.6394166666666,48000.0,2.0,178.97989720409475,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/low_stream/Resonanz Kreis - 02 My Silence.mp3,archive_low_download,True,5242396,218.2018820861678,44100.0,2.0,192.2035117159908,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/low_stream/the Beige Channel - 08CranfordPermeable_64kb.mp3,archive_low_download,True,2854997,356.7539229024943,22050.0,2.0,64.0216533967658,MP3,MPEG_LAYER_III,64.0,constant,MPEG 2.0,joint stereo,
music/low_stream/rubicante - kahvi206d_atmogat-iai_do_64kb.mp3,archive_low_download,True,3773880,471.61433106575964,22050.0,2.0,64.01637526954266,MP3,MPEG_LAYER_III,64.0,constant,MPEG 2.0,joint stereo,
music/low_stream/Beyond The Borders - 05 - Beyond The Borders - Biomotor.mp3,archive_low_download,True,6956290,151.81739229024944,44100.0,2.0,366.5609003058484,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,stereo,
music/low_stream/Mill Run Band - 07PaperPlaneWar.mp3,archive_low_download,True,9048740,376.99401360544215,44100.0,2.0,192.01875198942153,MP3,MPEG_LAYER_III,192.0,constant,MPEG 1.0,stereo,
music/low_stream/litmus0001 - 04anu017_litmus0001_san_francisco_ca.mp3,archive_low_download,True,46270488,1927.743401360544,44100.0,2.0,192.01928209882564,MP3,MPEG_LAYER_III,192.0,constant,MPEG 1.0,stereo,
music/low_stream/Otpei - 01 - OTPEI - Syred Nok.mp3,archive_low_download,True,11088667,277.1863945578231,44100.0,2.0,320.03495749317733,MP3,MPEG_LAYER_III,320.0,constant,MPEG 1.0,stereo,
music/low_stream/Jab Lemur - 12TETALMORALDO.mp3,archive_low_download,True,5976074,149.2174149659864,44100.0,2.0,320.39552495194886,MP3,MPEG_LAYER_III,320.0,constant,MPEG 1.0,stereo,
music/low_stream/Buben - buben-5-veil-NKSintl.mp3,archive_low_download,True,7657472,330.80018140589567,44100.0,2.0,185.18664572566706,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
